category, product
3,котелок
3,хустка
3,пальто
3,туфлі
3,термобілизна
3,бандана
3,майка
3,комбінація
3,фартух
3,блейзер
3,блуза
3,піратка
3,колготки 
3,бейсболка
3,пара взуття
3,комбідрес
3,краватка
3,каньги
3,чоботи
3,костюм
3,футболка
3,мокасини
3,плащ
3,панчохи
3,халат
3,балаклава
3,смокінг
3,джинси
3,ковбойский капелюх
3,в`єтнамки
3,шуба
3,купальник
3,високі чоботисукня
3,берци
3,боді
3,шнурки
3,рукавички
3,спортивний костюм
3,мантія
3,постоли
3,личаки
3,картуз
3,міні-спідниця
3,капелюх
3,уггі
3,сланці
3,кеди
3,перука
3,шкарпетки чоловічі
3,сандалії
3,чоловічі труси
3,трусики танга
3,лапті
3,дублянка
3,кросівки
3,спідниця
3,каптур
3,валянки
3,черевики
3,бушлат
3,боксерки
3,бікіні
3,шарф
3,пеньюар
3,шкарпетки
3,ковпак
3,чув`яки
3,капці
3,ічиги
3,плавки
3,доха
3,кроссівки
3,джемпер
3,труси
3,пуловер
3,бутильони
3,кітель
3,діадема
3,мундир
3,топ
3,тілогрійка
3,трусики
3,краватка-метелик
3,косинка
3,бюстгальтер
3,ліфчик
3,бриль
3,риза
3,комбінезон
3,сорочка
3,метелик
3,шпильки
3,ватник
3,нічна сорочка
3,бурка
3,взуття
3,шинель
3,калоші
3,роликові кросівки
3,піжама
3,ремінь
3,светр
3,сандалі
3,шкіряна куртка
3,федора
3,куртка із каптуром
3,снікерси
3,куртка
3,пара штанів
3,кепка
3,босоніжки
3,жилет
3,вуаль
3,штани
3,маска
3,сюртук
3,шорти
3,бюстьє
3,жіночі труси
3,шкарпетки жіночі
3,вишиванка
3,спідниця
3,джинсова куртка
3,бомбер
3,вітровка
3,башмак
3,босоножки
3,ботинки
3,валенки
3,калоши
3,кеды
3,кроссовки
3,лыжные ботинки
3,сандалии
3,сапоги
3,тапочки
3,туфли
3,туфли-балетки
3,трапециевидное платье
3,бальное платье
3,платье-футляр
3,домашний халат
3,махровый халат
3,купальный халат
3,вечернее платье
3,маскарадный костюм
3,сарафан
3,халат
3,кимоно
3,сари
3,сарі
3,платье-рубашка
3,платье-комбинация
3,блузка
3,рубашка-поло
3,футболка
3,туника
3,тенніска
3,анорак
3,кардиган
3,худі
3,брюки-клеш
3,бриджи
3,галифе
3,брюки-карго
3,брюки-дудочки
3,брюки-гольф
3,шаровары
3,шорти
3,слакси
3,кілт
3,джинси-стретч
3,фрак
3,слюнявчик
3,панамка
3,підтяжки
3,перчатки
3,гольфы
3,рукавички
3,пояс
3,плавки
3,купальник
3,кальсони
3,трико
3,берет
3,стетсон
3,вуаль
3,фата
