category	product
1	абрикос
1	абрикос сушений цілий без кісточки
1	абрикоси сушені
1	ананаси консервовані кільцями
1	ананаси
1	ананаси консервовані шматочками
1	ананаси сушені
1	анчоус
1	арахіс
1	арахіс у цукрі з кунжутом
1	асорті фруктово-горіхове
1	балик
1	батончик з арахісом
1	батончик з курагою
1	батончик з чорносливом
1	бички
1	бички, обсмажені в томатному соусі
1	борошно житнє
1	борошно пшеничне
1	буженина
1	вареники з картоплею
1	вареники з картоплею і грибами
1	вареники з картоплею і печінкою
1	вафельний батончик
1	вафельний батончик
1	вафлі
1	вермішель тонка
1	виноград сушений кишмиш
1	виріб м`ясомісткий
1	гвоздика
1	гірчиця міцна
1	горішки арахісу
1	горішки арахісу солоні смажені
1	горох колотий
1	горошок зелений
1	горошок зелений консервований
1	гриби шампіньйони мариновані
1	грильяж з повітряних зерен рису
1	грильяж соняшниковий
1	грудинка
1	десерт молочний
1	десерт молочний з арахісом
1	драже
1	драже арахіс
1	драже ізюм
1	драже насіння соняшника
1	драже помадкове
1	драже помадне
1	драже рисові кульки
1	драже фундук
1	дріжджі сухі хлібопекарські
1	желе
1	журавлина
1	журавлина сушена
1	закуска грибна
1	закуска з бужениною
1	закуска з шинкою і сиром
1	закуска зі смаком креветки
1	закуска куряча
1	зефір
1	імбир
1	імбир мелений
1	ірис вершковий
1	йогурт
1	йогурт з ананасовим наповнювачем
1	йогурт з малиновим наповнювачем
1	йогурт з наповнювачем персик-маракуйя
1	йогурт з наповнювачем чорниця
1	кава натуральна розчинна гранульована
1	кава натуральна розчинна сублімована
1	кава
1	кава смажена мелена, натуральна
1	какао
1	какао порошок
1	капуста брокколі
1	капуста брюсельська
1	карамель барбарис
1	карамель дюшес
1	карамель молочний коктейль
1	карамель рачок-добрячок
1	картопляне пюре
1	картопляне пюре швидкого приготування
1	картопляні снеки
1	каша вівсяна
1	квас
1	квас хлібний
1	квасоля
1	квасоля стручкова
1	квасоля у томантому соусі
1	кекс
1	кекс з вишневим наповнювачем
1	кекс з персиковим наповнювачем
1	кетчуп гострий
1	кетчуп томатний
